Restaurant,Product,Calories,Carbs,Fat,Cholesterol,Protein
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960,94,40,160,58
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600,156,66,265,97
Mcdonalds,Premium Asian Salad w/o Chicken,140,13,7,0,7
Mcdonalds,Premium Asian Salad w/ Grilled Chicken,270,18,9,80,31
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,490,28,28,95,33
Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,190,9,12,40,14
Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,320,9,14,45,42
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,490,28,28,95,33
Mcdonalds,Premium Southwest Salad w/o Chicken,220,26,10,15,8
Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,350,27,12,110,37
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,520,46,25,75,28
Chick FilA,Chargrilled Chicken Club Sandwich,430,37,16,85,37
Chick FilA,Chargrilled Chicken Sandwich,310,36,6,55,29
Chick FilA,Chick-n-Slider,270,26,11,45,16
Chick FilA,1 Piece Chick-n-Strips,120,6,6,25,11
Chick FilA,2 Piece Chick-n-Strips,230,13,12,55,22
Chick FilA,3 Piece Chick-n-Strips,350,22,17,70,28
Chick FilA,4 piece Chick-n-Strips,470,29,23,90,37
Chick FilA,Chicken Deluxe,500,42,23,75,31
Chick FilA,4 piece Chicken Nuggets,130,5,6,40,14
Chick FilA,6 piece Chicken Nuggets,190,7,9,55,21
Chick FilA,8 piece Chicken Nuggets,260,9,12,70,28
Chick FilA,12 piece Chicken Nuggets,390,14,18,115,41
Chick FilA,30 piece Chicken Nuggets,970,35,46,285,103
Chick FilA,Chicken Salad Sandwich,490,55,19,80,28
Chick FilA,Chicken Sandwich,440,40,19,60,28
Chick FilA,4 Piece Grilled Chicken Nuggets,70,1,2,35,13
Chick FilA,6 Piece Grilled Chicken Nuggets,110,2,3,50,19
Chick FilA,8 piece Grilled Chicken Nuggets,140,2,4,70,25
Chick FilA,12 Piece Grilled Chicken Nuggets,210,3,5,100,38
Chick FilA,Spicy Grilled Chicken Sub Sandwich,430,47,12,85,33
Chick FilA,Regular Grilled Chicken Sub Sandwich,450,48,13,75,34
Chick FilA,Smokehouse BBQ Bacon Sandwich,500,46,18,95,33
Chick FilA,Spicy Chicken Sandwich,450,41,19,60,29
Chick FilA,Spicy Deluxe,540,43,25,80,34
Chick FilA,Chargrilled Chicken Cool Wrap,350,29,14,60,37
Chick FilA,Chicken Enchiladas Meal Kit,860,70,47,100,39
Chick FilA,Chicken Parmesan Meal Kit,720,65,31,120,48
Sonic,Hatch Green Chile Cheeseburger,710,44,43,120,35
Sonic,Jalapeno Burger,640,42,37,100,31
Sonic,Jr. Burger,340,34,17,35,15
Sonic,Jr. Chili Cheeseburger,410,32,24,55,20
Sonic,Jr. Deluxe Burger,380,32,23,40,15
Sonic,Jr. Deluxe Cheeseburger,450,33,28,60,19
Sonic,Jr. Double Cheeseburger,600,35,38,110,31
Sonic,Sonic Bacon Cheeseburger (w/mayo),870,45,59,140,39
Sonic,Sonic Burger W/ Mustard,640,43,37,100,31
Sonic,Sonic Burger W/ Ketchup,650,46,37,100,32
Sonic,Sonic Burger W/ Mayonnaise,740,44,48,110,31
Sonic,Sonic Cheeseburger W/ Mustard,710,43,43,120,35
Sonic,Sonic Cheeseburger W/ Ketchup,720,47,43,120,35
Sonic,Sonic Cheeseburger W/ Mayonnaise,800,44,54,130,35
Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),1280,44,92,260,67
Sonic,Super Sonic Double Cheeseburger W/ Mustard,1120,44,76,235,63
Sonic,Super Sonic Double Cheeseburger W/ Ketchup,1130,47,76,235,63
Sonic,Super Sonic Double Cheeseburger W/ Mayo,1220,45,87,245,63
Sonic,Super Sonic Jalapeno Double Cheeseburger,1120,43,76,235,63
Sonic,Veggie Burger W/ Ketchup,450,67,14,10,15
Sonic,Veggie Burger With Mustard,450,64,14,10,15
Sonic,Veggie Burger W/ Mustard,450,64,14,10,15
Sonic,Grilled Asiago Caesar Chicken Club Sandwich,610,44,30,110,40
Sonic,Crispy Asiago Caesar Chicken Club Sandwich,680,53,39,80,31
Sonic,Grilled Chicken Sandwich,430,33,20,80,28
Sonic,Crispy Chicken Sandwich,570,47,33,45,23
Sonic,Chicken Strip Sandwich,450,43,24,35,19
Sonic,3 Piece Crispy Chicken Tender Dinner,280,16,14,0,22
Sonic,5 Piece Crispy Chicken Tender Dinner,470,26,24,0,37
Sonic,Deluxe Ultimate Chicken Sandwich,740,63,39,90,33
Sonic,Buffalo Dunked Ultimate Chicken Sandwich,1000,70,61,125,23
Sonic,Garlic Parmesan Dunked Ultimate Chicken Sandwich,1350,69,100,190,23
Sonic,Small Jumbo Popcorn Chicken,380,27,22,45,18
Sonic,Large Jumbo Popcorn Chicken,560,41,32,65,27
Sonic,Small Spicy Jumbo Popcorn Chicken,350,30,17,45,21
Sonic,Large Spicy Jumbo Popcorn Chicken,610,51,30,80,36
Sonic,3 Piece Super Crunch Chicken Strip Dinner,970,109,46,55,30
Sonic,4 Piece Super Crunch Chicken Strip Dinner,1080,118,51,75,37
Sonic,5 Piece Super Crunch Chicken Strip Dinner,1190,126,57,90,44
Sonic,3 Piece Super Crunch Chicken Strips,330,25,16,55,22
Sonic,4 Piece Super Crunch Chicken Strips,440,34,21,70,29
Sonic,5 Piece Super Crunch Chicken Strips,550,42,26,90,36
Sonic,Traditional Ultimate Chicken Sandwich,730,62,39,90,32
Sonic,Ultimate Chicken Club,100,65,64,100,39
Sonic,"All Beef All-american Style Dog – 6""",370,40,18,40,12
Sonic,"All Beef Chicago Dog – 6""",430,49,20,40,14
Sonic,"All Beef Chili Cheese Coney – 6""",410,30,26,65,17
Sonic,"All Beef New York Dog – 6""",340,30,19,40,13
Sonic,"All Beef Regular Hot Dog – 6""",320,27,18,40,11
Sonic,Cheesy Bacon Pretzel Dog - 6 In.,500,46,26,50,15
Sonic,Corn Dog,210,23,11,20,6
Sonic,Footlong Quarter Pound Coney,830,54,54,85,30
Sonic,The Original Pretzel Dog,320,27,18,35,11
Arbys,Arby's Melt,330,40,11,30,18
Arbys,Arby-Q Sandwich,400,58,10,30,18
Arbys,Beef 'n Cheddar Classic,450,45,20,50,23
Arbys,Beef 'n Cheddar Mid,630,48,32,100,39
Arbys,Bourbon BBQ Brisket Sandwich,650,51,33,105,38
Arbys,Bourbon BBQ Chicken Sandwich,690,66,31,90,38
Arbys,Bourbon BBQ Steak Sandwich,690,66,31,90,38
Arbys,Buttermilk Buffalo Chicken Sandwich,540,53,24,60,29
Arbys,Buttermilk Chicken Bacon & Swiss,650,56,31,90,39
Arbys,Buttermilk Chicken Cordon Bleu Sandwich,690,53,35,110,41
Arbys,Buttermilk Crispy Chicken Sandwich,550,52,26,60,29
Arbys,Classic French Dip & Swiss/Au Jus,540,50,23,85,35
Arbys,Classic Roast Beef,360,37,14,50,23
Arbys,Double Roast Beef,510,38,24,95,38
Arbys,Fire-Roasted Philly Steak,640,46,32,105,42
Arbys,Grand Turkey Club,480,37,24,65,30
Arbys,Greek Gyro,710,55,44,75,23
Arbys,Half Pound Beef 'n Cheddar Sandwich,740,48,39,130,49
Arbys,Half Pound French Dip & Swiss,750,51,36,150,55
Arbys,Half Pound Roast Beef Sandwich,610,38,30,130,48
Arbys,Ham & Swiss Melt,300,37,9,35,18
Arbys,Loaded Italian Sandwich,680,49,40,100,32
Arbys,Pecan Chicken Salad Flatbread,710,53,46,65,22
Arbys,Pecan Chicken Salad Sandwich,840,81,44,75,33
Arbys,2 piece Prime-Cut Chicken Tenders,240,19,11,30,16
Arbys,3 piece Prime-Cut Chicken Tenders,360,28,17,45,23
Arbys,5 piece Prime-Cut Chicken Tenders,600,47,28,75,39
Arbys,Reuben Sandwich,680,62,31,80,37
Arbys,Roast Beef Gyro,550,48,29,60,24
Arbys,Roast Turkey & Swiss Sandwich,710,79,28,65,38
Arbys,Roast Turkey & Swiss Wrap,520,39,27,65,30
Arbys,"Roast Turkey, Ranch & Bacon Sandwich",800,79,34,80,45
Arbys,"Roast Turkey, Ranch & Bacon Wrap",620,39,34,85,37
Arbys,Smoke Mountain w/ Beef Short Rib,740,62,35,125,43
Arbys,Smokehouse Beef Short Rib Sandwich,590,59,59,75,26
Arbys,Smokehouse Brisket,600,42,35,110,33
Arbys,Super Roast Beef,430,45,17,45,23
Arbys,Three Cheese Steak Sandwich,650,44,36,115,30
Arbys,Triple Decker Sandwich,1030,83,51,155,62
Arbys,Turkey Avocado Club,730,80,28,65,41
Arbys,Turkey Gyro,470,48,20,45,25
Arbys,Ultimate BLT,980,80,55,85,43
Arbys,Buffalo Chicken Slider,290,31,13,20,12
Arbys,Chicken Tender 'n Cheese Slider,290,30,12,25,15
Arbys,Corned Beef 'n Cheese Slider,220,21,9,30,14
Arbys,Ham 'n Cheese Slider,210,21,8,25,13
Arbys,Jalapeno Roast Beef 'n Cheese Slider,240,21,11,30,14
Arbys,Pizza Slider,300,23,17,35,13
Arbys,Roast Beef 'n Cheese Slider,240,21,11,30,14
Arbys,Turkey 'n Cheese Slider,200,21,7,25,14
Arbys,Chopped Side Salad,70,4,5,15,5
Arbys,Crispy Chicken Farmhouse Salad,430,26,24,65,28
Arbys,Greek Gyro Salad,420,11,37,55,10
Arbys,Roast Turkey Farmhouse Salad,230,8,13,55,22
Arbys,Super Greek Salad,720,39,53,85,22
Burger King,American Brewhouse King,1550,21,126,805,134
Burger King,Bacon & Swiss Sourdough King,1000,48,65,200,56
Burger King,Bacon Cheeseburger,330,32,16,55,18
Burger King,Bacon Cheeseburger Deluxe,290,28,14,40,12
Burger King,Bacon King,1040,48,48,220,57
Burger King,Bacon King Jr,730,63,39,90,32
Burger King,BBQ Bacon King,1100,51,75,220,57
Burger King,Cheeseburger,300,28,14,45,16
Burger King,Double Bacon Cheeseburger,520,33,31,105,31
Burger King,Double Cheeseburger,450,29,26,95,26
Burger King,Double Hamburger,360,28,18,70,22
Burger King,Double Quarter Pound King,900,50,54,210,56
Burger King,Extra Long Cheeseburger,580,45,33,85,26
Burger King,Farmhouse King,1220,62,80,335,NA
Burger King,Hamburger,260,28,10,35,13
Burger King,Homestyle Cheeseburger,550,48,27,95,30
Burger King,Jalapeno King Sandwich,990,46,65,205,55
Burger King,Mushroom & Swiss King,940,45,63,175,49
Burger King,Rodeo Burger,310,38,13,25,9
Burger King,Rodeo King,1250,69,82,230,60
Burger King,Sourdough King Single,730,52,43,125,35
Burger King,Sourdough King Double,970,52,61,205,55
Burger King,Steakhouse King,1100,59,74,180,50
Burger King,Bacon & Cheese Whopper,770,47,48,95,29
Burger King,DOUBLE WHOPPER w/o Cheese,900,51,57,140,47
Burger King,DOUBLE WHOPPER w/ Cheese,990,53,65,160,52
Burger King,WHOPPER w/o Cheese,660,49,40,90,28
Burger King,WHOPPER w/ Cheese,760,53,47,100,33
Burger King,WHOPPER JR. w/o Cheese,340,28,19,40,14
Burger King,WHOPPER JR. w/ Cheese,380,29,23,55,16
Burger King,Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing,590,18,40,150,42
Burger King,Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,720,32,50,120,36
Burger King,Chicken BLT Salad w/ Grilled Chicken,550,17,37,115,36
Burger King,Chicken BLT Salad w/ Crispy Chicken,690,31,48,100,35
Burger King,Chicken Caesar Salad w/ Grilled Chicken,530,26,32,95,35
Burger King,Chicken Caesar Salad w/ Crispy Chicken,670,40,43,80,34
Burger King,"Chicken, Apple & Cranberry Salad w/ Grilled Chicken",560,40,30,90,29
Burger King,"Chicken, Apple & Cranberry Salad w/ Crispy Chicken",700,54,41,80,28
Burger King,"Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing",320,16,14,115,36
Burger King,"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",450,30,24,85,29
Burger King,Side Caesar Salad with dressing,220,7,20,10,6
Burger King,Side Garden Salad and Avocado Ranch Dressing,230,7,21,30,5
Burger King,Bacon Cheddar Ranch Crispy Chicken Sandwich,830,57,52,110,34
Burger King,BBQ Bacon Crispy Chicken Sandwich,440,44,27,15,7
Burger King,Big Fish Sandwich,530,54,27,30,17
Burger King,BK VEGGIE Burger,410,44,16,5,22
Burger King,Chicken Burger,480,42,25,5,22
Burger King,Chicken Cordon Bleu Sandwich,730,63,39,90,32
Burger King,Chicken Fries,290,18,17,40,16
Burger King,4 Piece Chicken Nuggets,190,10,11,25,10
Burger King,6 Piece Chicken Nuggets,290,15,17,40,15
Burger King,20 Piece Chicken Nuggets,950,50,55,130,51
Burger King,Chicken Nuggets (10pc),470,34,29,50,21
Burger King,Chicken Parmesan Sandwich,570,57,25,70,32
Burger King,Crispy Buffalo Chicken Melt,580,56,28,70,30
Burger King,Crispy Chicken Jr.,430,34,28,30,12
Burger King,Crispy Chicken Sandwich,670,54,41,60,23
Burger King,Grilled Chicken Sandwich,470,39,19,85,37
Burger King,Grilled Chili Cheese Dog,330,28,19,40,14
Burger King,Grilled Hot Dog,310,32,16,30,11
Burger King,Jalapeno Chicken Fries,300,19,18,40,15
Burger King,Original Chicken Sandwich,630,46,39,65,24
Burger King,Pretzel Chicken Fries,340,21,21,45,16
Burger King,Rodeo Crispy Chicken Sandwich,410,53,17,20,12
Burger King,Sourdough Chicken Club,840,62,51,95,32
Burger King,4 Piece Spicy Chicken Nuggets,210,11,15,20,8
Burger King,Spicy Chicken Nuggets,530,28,37,55,20
Burger King,Spicy Crispy Chicken Jr.,410,35,25,35,12
Burger King,Spicy Crispy Chicken Sandwich,700,57,42,65,25
Burger King,Spicy Crispy Jalapeno Chicken Sandwich,760,58,45,95,32
Dairy Queen,1/2 lb. FlameThrower® GrillBurger,1000,40,74,170,46
Dairy Queen,1/2 lb. GrillBurger with Cheese,800,44,51,135,40
Dairy Queen,1/4 lb. Bacon Cheese GrillBurger,630,44,37,95,30
Dairy Queen,1/4 lb. GrillBurger with Cheese,540,44,30,70,23
Dairy Queen,1/4 lb. Mushroom Swiss GrillBurger,570,39,35,75,24
Dairy Queen,Original Cheeseburger,400,34,18,65,19
Dairy Queen,Original Double Cheeseburger,630,34,34,125,34
Dairy Queen,4 Piece Chicken Strip Basket w/ Country Gravy,1030,105,53,80,35
Dairy Queen,6 Piece Chicken Strip Basket w/ Country Gravy,1260,121,66,120,49
Dairy Queen,Bacon Cheese Dog,420,26,26,60,19
Dairy Queen,Cheese Dog,390,26,24,50,16
Dairy Queen,Chili Cheese Dog,380,23,24,55,16
Dairy Queen,Chili Dog,330,24,20,40,13
Dairy Queen,Hot Dog,290,22,17,35,11
Dairy Queen,Relish Dog,350,30,20,35,13
Dairy Queen,Barbecue Pork Sandwich,310,41,9,50,17
Dairy Queen,Breaded Mushrooms,250,36,9,0,7
Dairy Queen,Regular Cheese Curds,550,0,45,150,35
Dairy Queen,Large Cheese Curds,1050,52,75,180,43
Dairy Queen,Chili Cheese Mega Dog,760,48,49,100,32
Dairy Queen,Corn Dog,260,26,15,20,6
Dairy Queen,Crispy Fish Sandwich,470,53,22,20,17
Dairy Queen,Deluxe Cheeseburger,400,35,18,65,20
Dairy Queen,Deluxe Double Cheeseburger,640,35,34,125,34
Dairy Queen,Deluxe Double Hamburger,540,34,26,100,29
Dairy Queen,Deluxe Hamburger,350,34,14,50,17
Dairy Queen,DQ Ultimate® Burger,780,34,48,150,41
Dairy Queen,Pork Tenderloin Sandwich,580,48,34,45,19
Dairy Queen,Steak Finger Basket,910,95,48,45,23
Dairy Queen,3 chicken strips Chicken Strips,350,22,20,60,22
Dairy Queen,Chicken Bacon Ranch Sandwich,500,45,20,65,33
Dairy Queen,Chicken Mozzarella Sandwich,640,68,25,60,34
Dairy Queen,Crispy Chicken BLT Salad,520,25,31,100,37
Dairy Queen,Crispy Chicken Garden Greens Salad,280,24,13,40,17
Dairy Queen,Crispy Chicken Sandwich,600,59,30,55,24
Dairy Queen,Crispy Chicken Wrap,350,30,21,35,12
Dairy Queen,Grilled Chicken BLT Salad,380,11,19,100,42
Dairy Queen,Grilled Chicken Garden Greens Salad,150,10,2,40,23
Dairy Queen,Grilled Chicken Sandwich,360,32,15,50,25
Dairy Queen,Grilled Chicken Wrap,280,22,15,30,15
Dairy Queen,Side Salad,20,5,0,0,1
Dairy Queen,Turkey BLT Sandwich,550,45,26,60,30
Subway,"6"" B.L.T.",320,43,9,20,15
Subway,Footlong B.L.T.,640,86,18,40,30
Subway,"6"" BBQ Rib Sandwich",430,47,18,50,19
Subway,Footlong BBQ Rib Sandwich,860,94,36,100,38
Subway,"6"" Big Hot Pastrami",580,47,31,85,29
Subway,Footlong Big Hot Pastrami,1160,94,62,170,58
Subway,"6"" Big Philly Cheesesteak",500,51,17,85,38
Subway,Footlong Big Philly Cheesesteak,1000,102,34,170,76
Subway,Kids Mini Sub Black Forest Ham,180,30,3,10,10
Subway,"6"" Black Forest Ham",290,46,5,20,18
Subway,Footlong Black Forest Ham,580,92,10,40,36
Subway,"6"" Carved Turkey",330,45,5,45,25
Subway,Footlong Carved Turkey,660,90,10,90,50
Subway,"6"" Carved Turkey & Bacon w/ Cheese",570,46,26,70,33
Subway,Footlong Carved Turkey & Bacon w/ Cheese,1140,92,52,140,66
Subway,"6"" Chicken & Bacon Ranch Melt",570,47,28,95,35
Subway,Footlong Chicken & Bacon Ranch Melt,1140,94,56,190,70
Subway,"6"" Chicken Pizziola Melt",460,49,16,80,32
Subway,Footlong Chicken Pizziola Melt,920,98,32,160,64
Subway,"6"" Cold Cut Combo",370,46,13,50,18
Subway,Footlong Cold Cut Combo,740,92,26,100,36
Subway,"6"" Corned Beef Reuben",470,45,15,85,39
Subway,Footlong Corned Beef Reuben,940,90,30,170,78
Subway,"6"" Italian B.M.T.",410,46,16,45,20
Subway,Footlong Italian B.M.T.,820,92,32,90,40
Subway,"6"" Italian Hero",550,47,29,75,26
Subway,Footlong Italian Hero,1100,94,58,150,52
Subway,"6"" Meatball Marinara",480,59,18,30,21
Subway,Footlong Meatball Marinara,960,118,36,60,42
Subway,"6"" Oven Roasted Chicken",320,47,5,25,23
Subway,Footlong Oven Roasted Chicken,640,44,10,50,46
Subway,Kids Mini Sub Roast Beef,200,30,3,25,14
Subway,"6"" Roast Beef",320,45,5,40,24
Subway,Footlong Roast Beef,640,90,10,80,48
Subway,"6"" Rotisserie Style Chicken",350,44,6,50,29
Subway,Footlong Rotisserie Style Chicken,700,88,12,100,58
Subway,"6"" Spicy Italian",480,46,24,50,20
Subway,Footlong Spicy Italian,960,92,48,100,40
Subway,"6"" Steak and Cheese",380,48,10,50,26
Subway,Footlong Steak and Cheese,760,96,20,100,52
Subway,"6"" Subway Club",310,46,5,40,23
Subway,Footlong Subway Club,620,92,10,80,46
Subway,"6"" Subway Melt (includes cheese)",370,47,11,45,23
Subway,Footlong Subway Melt (includes cheese),740,94,22,90,46
Subway,"6"" Subway Seafood Sensation",420,51,19,20,13
Subway,Footlong Subway Seafood Sensation,840,102,38,40,26
Subway,"6"" Sweet Onion Chicken Teriyaki",380,59,5,50,26
Subway,Footlong Sweet Onion Chicken Teriyaki,760,118,10,100,52
Subway,"6"" Tuna",470,44,24,30,20
Subway,Footlong Tuna,940,88,48,60,40
Subway,"6"" Turkey & Bacon Avocado",390,49,13,30,22
Subway,Footlong Turkey & Bacon Avocado,780,98,26,60,44
Subway,Kids Mini Sub Turkey Breast,180,30,2,10,10
Subway,"6"" Turkey Breast",280,46,4,20,18
Subway,Footlong Turkey Breast,560,92,8,40,36
Subway,"6"" Turkey Breast & Ham",280,46,4,20,18
Subway,Footlong Turkey Breast & Ham,560,92,8,40,36
Subway,"6"" Turkey Italiano Melt (with Provolone)",490,47,24,50,24
Subway,Footlong Turkey Italiano Melt (with Provolone),980,94,48,100,48
Subway,Kids Mini Sub Veggie Delite,150,29,2,0,6
Subway,"6"" Veggie Delite",230,44,3,0,8
Subway,Footlong Veggie Delite,460,88,6,0,16
Subway,"6"" Veggie Patty",390,56,7,10,23
Subway,Footlong Veggie Patty,780,112,14,20,46
Subway,Autumn Carved Turkey Salad,300,26,9,60,25
Subway,B.L.T. Salad,150,10,8,20,10
Subway,Big Hot Pastrami Melt Salad,400,12,29,85,23
Subway,Big Philly Cheesesteak Salad,330,17,16,85,32
Subway,Black Forest Ham Salad,110,11,3,20,12
Subway,Buffalo Chicken Salad (with Ranch dressing),360,13,26,60,20
Subway,Carved Turkey & Bacon w/ Cheese Salad,280,11,12,65,28
Subway,Carved Turkey Salad,150,8,4,45,19
Subway,Chicken & Bacon Ranch Melt Salad (includes Ranch dressing),510,14,38,100,30
Subway,Cold Cut Combo Salad,180,12,11,45,12
Subway,Double Chicken Salad,220,10,5,100,36
Subway,Italian B.M.T.® Salad,230,12,15,45,14
Subway,Italian Hero Salad,230,13,15,45,14
Subway,Meatball Marinara Salad,310,25,17,30,16
Subway,Oven Roasted Chicken Salad,140,10,3,50,19
Subway,Roast Beef Salad,140,10,4,40,18
Subway,Spicy Italian Salad,310,11,23,50,15
Subway,Steak & Cheese Salad,210,14,8,50,20
Subway,Subway Club Salad,140,11,4,40,17
Subway,Subway Melt® Salad,200,13,10,45,18
Subway,Sweet Onion Chicken Teriyaki Salad,200,24,3,50,20
Subway,Tuna Salad,310,10,24,40,15
Subway,Turkey Breast & Ham Salad,110,11,3,25,12
Subway,Turkey Breast Salad,110,11,2,20,12
Subway,Veggie Delite Salad,50,9,1,0,3
Subway,Chipotle Southwest Steak & Cheese Wrap,760,65,37,100,43
Subway,Rotisserie-Style Chicken Caesar Wrap,730,53,34,135,55
Subway,"Turkey, Bacon & Guacamole Wrap",810,62,42,75,43
Subway,Cheese & Veggies Pizza,740,100,25,50,36
Subway,Cheese Pizza,680,96,22,40,32
Subway,Pepperoni Pizza,790,96,32,60,38
Subway,Sausage Pizza,820,97,34,70,39
Taco Bell,1/2 lb.* Cheesy Potato Burrito,540,59,26,45,19
Taco Bell,1/2 lb.* Combo Burrito,460,53,18,45,21
Taco Bell,7-Layer Burrito,510,68,19,20,16
Taco Bell,Bean Burrito,370,56,11,5,13
Taco Bell,Beefy 5-Layer Burrito,550,68,22,35,19
Taco Bell,Beefy Fritos® Burrito,440,55,18,20,13
Taco Bell,Black Bean Burrito,410,62,12,10,14
Taco Bell,Burrito Supreme® – Beef,420,53,16,35,16
Taco Bell,Burrito Supreme® - Chicken,390,52,12,40,19
Taco Bell,Burrito Supreme® - Steak,390,52,13,30,17
Taco Bell,Cantina Power Burrito - Chicken,760,96,27,60,32
Taco Bell,Cantina Power Burrito - Steak,780,98,28,50,33
Taco Bell,Cantina Power Burrito - Veggie,740,107,26,10,20
Taco Bell,Cheesy Bean and Rice Burrito,420,55,17,0,11
Taco Bell,Chili Cheese Burrito,380,41,17,35,16
Taco Bell,Chicken Crunchy Cheesy Core Burrito,610,74,24,55,25
Taco Bell,Steak Crunchy Cheesy Core Burrito,610,75,24,50,25
Taco Bell,Beef Crunchy Cheesy Core Burrito,630,76,26,45,22
Taco Bell,Loaded Taco Burrito,550,52,29,50,20
Taco Bell,Chicken Quesarito,620,64,30,60,24
Taco Bell,Steak Quesarito,630,64,31,65,25
Taco Bell,Beef Quesarito,650,65,34,60,22
Taco Bell,Shredded Chicken Burrito,400,45,18,30,16
Taco Bell,Smothered Burrito - Beef,710,70,35,75,28
Taco Bell,Smothered Burrito - Shredded Chicken,650,67,28,70,34
Taco Bell,Smothered Burrito - Steak,670,68,29,80,35
Taco Bell,Chicken Spicy Cheesy Core Burrito,540,66,20,55,24
Taco Bell,Steak Spicy Cheesy Core Burrito,550,66,21,50,24
Taco Bell,Beef Spicy Cheesy Core Burrito,570,68,23,45,22
Taco Bell,Triple Melt Burrito,410,50,16,30,15
Taco Bell,XXL Grilled Stuft Burrito - Beef,880,94,42,75,31
Taco Bell,XXL Grilled Stuft Burrito - Chicken,830,91,35,85,37
Taco Bell,XXL Grilled Stuft Burrito - Steak,820,91,36,70,33
Taco Bell,Chicken Soft Taco,170,18,6,30,12
Taco Bell,Cool Ranch® Doritos® Double Decker® Taco,320,36,14,25,13
Taco Bell,Cool Ranch® Doritos® Locos Taco,160,13,10,25,8
Taco Bell,Cool Ranch® Doritos® Locos Taco Supreme,200,15,12,35,9
